provincia;tipo_tabaco;es_subtotal_provincial;es_total_nacional;volumen_kg;valor_acopio_pesos;precio_acopio_promedio;valor_fet_pesos;precio_fet_promedio;valor_total_pesos;precio_total_promedio;campana
TUCUMAN;CR. ARGENTINO;False;False;56451.0;147014890.0;2604.29;52268217.85;925.9;199283107.85;3530.2;2023/2024
CORRIENTES;SUBTOTAL_PROVINCIAL;True;False;573727.0;1170339877.72;2039.89;418498718.18;729.44;1588838595.9;2769.33;2023/2024
CORRIENTES;BURLEY;False;False;65942.0;152996371.65;2320.17;56764873.95;860.83;209761245.6;3181.0;2023/2024
CORRIENTES;VIRGINIA;False;False;240.0;449400.0;1872.5;180198.22;750.83;629598.22;2623.33;2023/2024
CORRIENTES;CR. CORRENTINO;False;False;507545.0;1016894106.07;2003.55;361553646.01;712.36;1378447752.08;2715.91;2023/2024
TOTAL_NACIONAL;TOTAL_NACIONAL;False;True;119643868.0;355304769168.96;2969.69;105404687149.35;880.99;460709456318.31;3850.67;2024/2025
JUJUY;SUBTOTAL_PROVINCIAL;True;False;34255518.0;106680452404.02;3114.26;31642731160.65;923.73;138323183564.67;4037.98;2024/2025
JUJUY;VIRGINIA;False;False;34255518.0;106680452404.02;3114.26;31642731160.65;923.73;138323183564.67;4037.98;2024/2025
SALTA;SUBTOTAL_PROVINCIAL;True;False;36041686.0;115108858257.66;3193.77;34146053357.43;947.4;149254911615.09;4141.17;2024/2025
SALTA;VIRGINIA;False;False;36041686.0;115108858257.66;3193.77;34146053357.43;947.4;149254911615.09;4141.17;2024/2025
MISIONES;SUBTOTAL_PROVINCIAL;True;False;39559335.0;110174967784.4;2785.06;32676259854.19;826.01;142851227638.59;3611.06;2024/2025
MISIONES;BURLEY;False;False;39375039.0;109725201968.75;2786.67;32540476394.42;826.42;142265678363.17;3613.09;2024/2025
MISIONES;CR. MISIONERO;False;False;174283.0;422038950.0;2421.57;125202461.95;718.39;547241411.95;3139.96;2024/2025
MISIONES;VIRGINIA;False;False;10013.0;27726865.65;2769.09;10580997.82;1056.73;38307863.47;3825.81;2024/2025
CATAMARCA;SUBTOTAL_PROVINCIAL;True;False;798212.0;1949233935.68;2442.0;578071047.04;724.21;2527304982.72;3166.21;2024/2025
CATAMARCA;BURLEY;False;False;796706.0;1944939156.25;2441.23;576796956.53;723.98;2521736112.78;3165.2;2024/2025
CATAMARCA;CR. ARGENTINO;False;False;1506.0;4294779.43;2851.78;1274090.51;846.01;5568869.94;3697.79;2024/2025
CHACO;SUBTOTAL_PROVINCIAL;True;False;440339.0;985410331.95;2237.84;296937138.52;674.34;1282347470.47;2912.18;2024/2025
CHACO;VIRGINIA;False;False;158842.0;460166245.53;2897.01;141116712.21;888.41;601282957.74;3785.42;2024/2025
CHACO;CR. CHAQUEÑO;False;False;281497.0;525244086.42;1865.9;155820426.31;553.54;681064512.73;2419.44;2024/2025
TUCUMAN;SUBTOTAL_PROVINCIAL;True;False;7070025.0;18406105940.25;2603.4;5458590459.79;772.08;23864696400.04;3375.48;2024/2025
TUCUMAN;VIRGINIA;False;False;15799.0;49404124.26;3127.04;14653812.4;927.52;64057936.66;4054.56;2024/2025
TUCUMAN;BURLEY;False;False;6991452.0;18177594406.25;2599.97;5390802568.1;771.06;23568396974.35;3371.03;2024/2025
TUCUMAN;CR. ARGENTINO;False;False;62774.0;179107409.74;2853.21;53134079.29;846.43;232241489.03;3699.64;2024/2025
CORRIENTES;SUBTOTAL_PROVINCIAL;True;False;1478753.0;1999740515.0;1352.32;606044131.73;409.83;2605784646.73;1762.15;2024/2025
CORRIENTES;BURLEY;False;False;32075.0;50473051.0;1573.59;27515482.0;857.85;77988533.0;2431.44;2024/2025
CORRIENTES;VIRGINIA;False;False;890.0;2399908.0;2696.53;967848.21;1087.47;3367756.21;3784.0;2024/2025
CORRIENTES;CR. CORRENTINO;False;False;1445788.0;1946867556.0;1346.58;577560801.52;399.48;2524428357.52;1746.06;2024/2025
